aluno_id,Aluno,Sala,Unidade,prep_score,attendance_score,homework_score,interaction_score,engajamento,cluster
Estudante 15::Four Corners B1::Vila Sônia (manhã),Estudante 15,Four Corners B1,Vila Sônia (manhã),0.7857142857142857,0.9285714285714286,0.7142857142857143,0.5714285714285714,0.8821428571428571,2
Estudante 15::Four Corners B1::Vila Sônia (tarde),Estudante 15,Four Corners B1,Vila Sônia (tarde),0.7857142857142857,0.8571428571428571,0.7142857142857143,0.9047619047619048,0.9,0
Estudante 15::Four Corners B2::Unidade Virtual (aulas aos sábados),Estudante 15,Four Corners B2,Unidade Virtual (aulas aos sábados),0.07142857142857142,0.21428571428571427,0.07142857142857142,0.42857142857142855,0.19642857142857142,1
Estudante 15::Four Corners C1::Campinas,Estudante 15,Four Corners C1,Campinas,0.8571428571428571,0.7142857142857143,0.7857142857142857,0.8095238095238095,0.8571428571428571,0
Estudante 15::Four Corners C1::Capão Redondo,Estudante 15,Four Corners C1,Capão Redondo,0.6785714285714286,0.8571428571428571,0.6428571428571429,0.7142857142857143,0.825,2
Estudante 15::Four Corners C1::Diadema,Estudante 15,Four Corners C1,Diadema,0.8571428571428571,0.9285714285714286,0.7857142857142857,0.9523809523809524,0.9749999999999999,0
Estudante 15::Four Corners C1::Jabaquara,Estudante 15,Four Corners C1,Jabaquara,0.4642857142857143,0.7857142857142857,0.5714285714285714,0.7619047619047619,0.7214285714285714,2
Estudante 15::Four Corners C1::Rio de Janeiro,Estudante 15,Four Corners C1,Rio de Janeiro,0.5,0.6428571428571429,0.2857142857142857,0.5714285714285714,0.5821428571428572,3
Estudante 15::Four Corners C1::Tatuapé,Estudante 15,Four Corners C1,Tatuapé,0.0,0.0,0.0,0.3333333333333333,0.049999999999999996,1
Estudante 15::Four Corners C1::Unidade Virtual (aulas aos domingos),Estudante 15,Four Corners C1,Unidade Virtual (aulas aos domingos),0.5,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.6642857142857143,2
Estudante 15::Four Corners C1::Unidade Virtual (aulas aos sábados),Estudante 15,Four Corners C1,Unidade Virtual (aulas aos sábados),0.6428571428571429,0.7857142857142857,0.7142857142857143,0.7619047619047619,0.8035714285714286,0
Estudante 15::Four Corners C1::Vila Sônia (manhã),Estudante 15,Four Corners C1,Vila Sônia (manhã),0.21428571428571427,0.7857142857142857,0.14285714285714285,0.7619047619047619,0.5607142857142857,3
Estudante 15::Four Corners C1::Vila Sônia (tarde),Estudante 15,Four Corners C1,Vila Sônia (tarde),0.8571428571428571,0.8571428571428571,0.7857142857142857,0.9047619047619048,0.9357142857142857,0
Estudante 15::Four Corners C2::Campinas,Estudante 15,Four Corners C2,Campinas,0.42857142857142855,0.7142857142857143,0.42857142857142855,0.8095238095238095,0.6571428571428571,2
