aluno_id,Aluno,Sala,Unidade,Aula,Data,Fez a atividade antes da aula,Presença/Ausencia,Fez lição de casa,Participação
Estudante 6::Four Corners C1::Capão Redondo,Estudante 6,Four Corners C1,Capão Redondo,2,2025-02-15,1.0,1.0,1.0,3.0
Estudante 6::Four Corners C1::Capão Redondo,Estudante 6,Four Corners C1,Capão Redondo,3,2025-02-22,1.0,1.0,1.0,3.0
Estudante 6::Four Corners C1::Capão Redondo,Estudante 6,Four Corners C1,Capão Redondo,4,2025-03-08,1.0,1.0,1.0,1.0
Estudante 6::Four Corners C1::Capão Redondo,Estudante 6,Four Corners C1,Capão Redondo,5,2025-03-15,1.0,0.0,0.0,1.0
Estudante 6::Four Corners C1::Capão Redondo,Estudante 6,Four Corners C1,Capão Redondo,6,2025-03-29,0.0,1.0,1.0,3.0
Estudante 6::Four Corners C1::Capão Redondo,Estudante 6,Four Corners C1,Capão Redondo,7,2025-04-05,1.0,0.0,1.0,1.0
Estudante 6::Four Corners C1::Capão Redondo,Estudante 6,Four Corners C1,Capão Redondo,8,2025-04-12,1.0,1.0,1.0,3.0
Estudante 6::Four Corners C1::Capão Redondo,Estudante 6,Four Corners C1,Capão Redondo,9,2025-04-26,1.0,0.0,1.0,3.0
Estudante 6::Four Corners C1::Capão Redondo,Estudante 6,Four Corners C1,Capão Redondo,10,2025-05-17,1.0,1.0,0.5,0.0
Estudante 6::Four Corners C1::Capão Redondo,Estudante 6,Four Corners C1,Capão Redondo,11,2025-05-24,1.0,1.0,1.0,1.0
Estudante 6::Four Corners C1::Capão Redondo,Estudante 6,Four Corners C1,Capão Redondo,12,2025-05-31,1.0,1.0,1.0,3.0
Estudante 6::Four Corners C1::Capão Redondo,Estudante 6,Four Corners C1,Capão Redondo,13,2025-06-07,1.0,1.0,0.0,3.0
Estudante 6::Four Corners C1::Capão Redondo,Estudante 6,Four Corners C1,Capão Redondo,14,,0.0,0.0,0.0,1.0
Estudante 7::Four Corners C1::Capão Redondo,Estudante 7,Four Corners C1,Capão Redondo,1,2025-02-08,0.0,1.0,0.0,3.0
Estudante 7::Four Corners C1::Capão Redondo,Estudante 7,Four Corners C1,Capão Redondo,2,2025-02-15,1.0,1.0,1.0,3.0
Estudante 7::Four Corners C1::Capão Redondo,Estudante 7,Four Corners C1,Capão Redondo,3,2025-02-22,1.0,1.0,1.0,3.0
Estudante 7::Four Corners C1::Capão Redondo,Estudante 7,Four Corners C1,Capão Redondo,4,2025-03-08,1.0,1.0,1.0,1.0
Estudante 7::Four Corners C1::Capão Redondo,Estudante 7,Four Corners C1,Capão Redondo,5,2025-03-15,1.0,0.0,1.0,1.0
Estudante 7::Four Corners C1::Capão Redondo,Estudante 7,Four Corners C1,Capão Redondo,6,2025-03-29,1.0,1.0,1.0,3.0
